type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
"W,48.279394400,8.850950700,514.8,,,,""48.2793944,8.8509507"",""Balingen, 72336 Balingen, Deutschland"""
"W,48.279450000,8.850716000,513.6,,,,""Bahnhof/Busbahnhof, Balingen"","

type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
"T,48.279390000,8.850950000,514.8,,0.000,,""Balingen - Bahnhof/Busbahnhof, Balingen"",""10.3 km, 0:23"""
T,48.275220000,8.883540000,566.2,2.3,4.785,20.08,,
T,48.275290000,8.883780000,566.1,-0.5,4.804,19.44,,
T,48.275330000,8.883930000,566.4,2.5,4.816,11.99,,
T,48.275380000,8.884110000,566.7,2.5,4.831,14.47,,
T,48.275420000,8.884220000,567.2,5.2,4.840,9.30,,
T,48.275450000,8.884290000,567.7,7.6,4.846,6.17,,
T,48.275500000,8.884380000,568.4,7.9,4.855,8.69,,
T,48.275500000,8.884380000,568.4,,4.855,0.00,,
T,48.275420000,8.884490000,568.1,-2.2,4.867,12.07,,
T,48.275390000,8.884530000,568.0,-2.5,4.872,4.47,,
T,48.275380000,8.884550000,568.0,-0.9,4.873,1.85,,
T,48.275370000,8.884600000,568.0,1.6,4.877,3.87,,
T,48.275350000,8.884660000,568.1,1.1,4.882,4.98,,
T,48.275330000,8.884840000,568.6,3.8,4.896,13.54,,
T,48.275310000,8.884940000,568.9,3.7,4.904,7.75,,
T,48.275260000,8.885080000,569.6,6.1,4.915,11.79,,
T,48.275230000,8.885270000,570.9,9.2,4.930,14.49,,
T,48.275220000,8.885530000,571.9,5.0,4.949,19.33,,
T,48.275220000,8.885720000,572.0,0.7,4.963,14.10,,
T,48.275210000,8.885830000,572.0,0.0,4.972,8.24,,
T,48.275200000,8.885990000,572.6,4.7,4.983,11.93,,
T,48.275200000,8.886130000,573.1,4.8,4.994,10.39,,
T,48.275200000,8.886480000,574.6,5.8,5.020,25.98,,
T,48.275190000,8.886830000,577.0,9.5,5.046,26.00,,
T,48.275190000,8.886830000,577.0,,5.046,0.00,,
T,48.275880000,8.886910000,573.6,-4.5,5.123,76.95,,
T,48.275880000,8.886910000,573.6,,5.123,0.00,,
T,48.275930000,8.886810000,573.0,-6.2,5.132,9.27,,
T,48.275990000,8.886670000,572.4,-4.4,5.144,12.35,,
T,48.276060000,8.886550000,572.1,-2.8,5.156,11.83,,
T,48.276080000,8.886510000,572.0,-1.6,5.160,3.71,,
T,48.276100000,8.886470000,572.0,-1.0,5.164,3.71,,
T,48.276140000,8.886390000,572.0,-0.2,5.171,7.42,,
T,48.276170000,8.886300000,572.1,0.9,5.179,7.47,,
T,48.276200000,8.886170000,572.3,1.8,5.189,10.21,,
T,48.276270000,8.885850000,572.6,1.3,5.214,25.00,,
T,48.276300000,8.885630000,573.4,5.0,5.230,16.67,,
T,48.276340000,8.885440000,573.8,2.8,5.245,14.79,,
T,48.276360000,8.885220000,573.7,-0.7,5.262,16.48,,
T,48.276370000,8.885120000,573.4,-4.1,5.269,7.51,,
