type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,49.010800000,8.339320000,105.1,0.1,6.828,35.29,,
T,49.010740000,8.339130000,105.4,1.7,6.844,15.42,,
T,49.010530000,8.338470000,105.9,1.0,6.897,53.63,,
T,49.010240000,8.337560000,107.9,2.7,6.971,73.97,,
T,49.010210000,8.337480000,108.3,5.9,6.978,6.74,,
T,49.010140000,8.337310000,109.2,5.9,6.993,14.67,,
T,49.009840000,8.336610000,110.3,1.8,7.054,61.12,,
T,49.009530000,8.336050000,108.0,-4.2,7.107,53.54,,
T,49.009270000,8.335690000,108.6,1.6,7.147,39.11,,
T,49.009000000,8.335330000,107.9,-1.9,7.186,39.94,,
T,49.009000000,8.335330000,107.9,,7.186,0.00,,
T,49.009100000,8.335060000,106.6,-5.4,7.209,22.67,,
T,49.009130000,8.334940000,106.1,-6.0,7.219,9.39,,
T,49.009150000,8.334810000,105.5,-6.1,7.228,9.77,,
T,49.009210000,8.334480000,104.7,-3.1,7.253,25.05,,
T,49.009210000,8.334480000,104.7,,7.253,0.00,,
T,49.009030000,8.334000000,107.0,5.6,7.294,40.42,,
T,49.008760000,8.333280000,108.0,1.7,7.354,60.63,,
T,49.008660000,8.332980000,109.7,7.0,7.379,24.60,,
T,49.008590000,8.332610000,110.4,2.3,7.407,28.17,,
T,49.008530000,8.332110000,107.9,-6.7,7.444,37.18,,
T,49.008520000,8.332030000,107.5,-6.6,7.450,5.96,,
T,49.008330000,8.330070000,104.3,-2.2,7.595,144.94,,
T,49.008300000,8.329790000,105.0,3.6,7.616,20.75,,
T,49.008130000,8.328380000,105.7,0.6,7.721,104.87,,
T,49.008040000,8.327570000,106.7,1.8,7.781,60.10,,
T,49.008010000,8.326930000,108.5,3.7,7.828,46.94,,
T,49.008010000,8.326230000,106.4,-4.0,7.879,51.21,,
T,49.008020000,8.326040000,105.5,-6.9,7.893,13.94,,
T,49.008030000,8.325850000,105.3,-1.4,7.907,13.94,,
T,49.008050000,8.325670000,105.6,2.6,7.920,13.36,,
T,49.008150000,8.325150000,106.3,1.8,7.960,39.64,,
T,49.008330000,8.324580000,106.5,0.3,8.006,46.26,,
T,49.008660000,8.323810000,104.2,-3.4,8.073,67.23,,
T,49.010590000,8.319480000,104.9,0.2,8.456,382.64,,
T,49.010810000,8.319000000,104.5,-0.8,8.499,42.80,,
T,49.011370000,8.317760000,106.1,1.4,8.609,110.03,,
T,49.011480000,8.317540000,106.6,2.8,8.629,20.22,,
T,49.012640000,8.315000000,105.0,-0.7,8.855,226.20,,
T,49.013360000,8.313400000,105.0,0.0,8.997,141.81,,
